case_id,qid,set,metric_source,ndcg10_end,ndcg10_mix,delta_ndcg10,recall10_end,recall10_mix,delta_recall10,first_rel_rank50_end,first_rel_rank50_mix,overlap10,overlap50,best_rel_rank_shift,token_count_a,token_count_b,len_ratio,endpoint_cos,r,delta_perp,cos_to_a,cos_to_b,doc_lang_mismatch_rate10_end,doc_lang_mismatch_rate10_mix,ascii_ratio10_end,ascii_ratio10_mix,label,text_a,text_b
CASE_0016,866139,worst,evaluate_perquery,100.0,0.0,-100.0,100.0,0.0,-100.0,1,13,6,41,12.0,9,6,1.5,0.5742061734199524,0.6999999300076222,6.814651953845896e-08,0.7746170070956684,0.9625675325732005,0.0,0.0,0.01931984772769942,0.015867996340760988,RecallDrop,配当とはどのような勘定ですか？,什么样的账户是股息？
CASE_0016,1087185,worst,evaluate_perquery,100.0,43.06765580733931,-56.93234419266069,100.0,100.0,0.0,1,4,7,44,3.0,8,6,1.3333333333333333,0.8407986164093018,0.6999999438403538,5.5284225197738124e-08,0.9198435231346611,0.9857661190527595,0.0,0.0,0.010777358041910047,0.02123814235563554,RankDrop,ごみエネルギーの利点は何ですか,垃圾能源的优势是什么
CASE_0016,1095971,worst,evaluate_perquery,100.0,43.06765580733931,-56.93234419266069,100.0,100.0,0.0,1,4,9,43,3.0,6,6,1.0,0.7459009138286659,0.7000000351858652,5.8220873455638866e-08,0.8698562255982748,0.9773960762114929,0.0,0.0,0.0,0.0,RankDrop,バレンシアオレンジの繊維の量,巴伦西亚橙中含有多少纤维
CASE_0016,704236,worst,evaluate_perquery,100.0,43.06765580733931,-56.93234419266069,100.0,100.0,0.0,1,4,8,42,3.0,6,7,0.8571428571428571,0.786210106981403,0.6999999372699769,6.012336939420493e-08,0.8913039349445099,0.9809387880690542,0.0,0.0,0.028520679548415105,0.006875000000000001,RankDrop,車のトリムラインとは,什么是汽车上的装饰线
CASE_0016,283344,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,8,45,2.0,7,9,0.7777777777777778,0.6991028010310412,0.6999999504775696,6.465155166779368e-08,0.8445388598326861,0.9733093489211606,0.0,0.0,0.019791666666666666,0.04131065400843882,RankDrop,リンゴの脂肪とカロリーの数,一个苹果有多少脂肪和卡路里
CASE_0016,414155,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,9,47,2.0,14,9,1.5555555555555556,0.756468653678894,0.6999998898618709,9.060976680075328e-08,0.8755106217180946,0.9783229973358812,0.0,0.0,0.013364870030581042,0.012844036697247707,TranslationDivergence,妊娠初期に胸焼けを起こすのは正常ですか,怀孕头三个月胃灼热正常吗
CASE_0016,885986,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,8,32,2.0,12,9,1.3333333333333333,0.6987721920013428,0.7,3.66732173517903e-08,0.8443582868448578,0.9732805078248788,0.0,0.0,0.004166666666666667,0.019074239713774595,RankDrop,何パーセントの労働者がマーティンルーサーキングを降ろすのか,百分之多少的工人让马丁路德金离开
CASE_0016,993178,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,9,42,2.0,23,17,1.3529411764705883,0.8951319989640713,0.7000000213141585,4.7263824853871483e-08,0.9476978291876842,0.9906004676295702,0.0,0.0,0.05313267147735047,0.0404744436292492,RankDrop,どの性感染症には3つの段階があり、最初の段階は下疳の発症を伴いますか？,哪种性传播疾病分为三个阶段，第一个阶段涉及下疳的发展？
CASE_0016,1003875,worst,evaluate_perquery,100.0,63.092975357145754,-36.907024642854246,100.0,100.0,0.0,1,2,10,28,1.0,13,8,1.625,0.5521673560142517,0.6999999467616935,6.893905890592578e-08,0.7618990415543422,0.960701485563979,0.0,0.0,0.17247320129575608,0.17247320129575608,TranslationDivergence,地中海のヤモリはどこで紹介されましたか,地中海壁虎是从哪里引进的
CASE_0016,1031910,worst,evaluate_perquery,100.0,63.092975357145754,-36.907024642854246,100.0,100.0,0.0,1,2,9,39,1.0,13,8,1.625,0.7004613280296326,0.7,4.064654035573767e-08,0.8452802730719369,0.9734274546843588,0.0,0.0,0.0,0.009278350515463918,TranslationDivergence,キングサイズのヘッドボードの標準サイズはどれくらいですか,特大床头板的标准尺寸是多少
