case_id,qid,condition,rank,docid,retrieval_score_raw,score,rel,doc_lang,snippet
CASE_0001,599720,endpoint,1,1580943,0.670336,0.670336,0,zh,获得 I.V. 的并发症可能包括浸润、血肿、空气栓塞、静脉炎、血管外给药和动脉内注射。动脉内注射更为罕见，但具有威胁性。
CASE_0001,599720,endpoint,2,7466196,0.658428,0.658428,1,es,Algunos medicamentos intravenosos que se administran como infusiones a lo largo del tiempo pueden administrarse accidentalmente demasiado rápido como un ÃƒÂ ¢ Ã‚â‚¬Ã‚Å “pushÃƒÂ ¢ Ã‚â‚¬Ã‚. Esto puede causar toxicidad o dañar la vena cercana al lugar de la inyección. La flebitis o inflamación de las v
CASE_0001,599720,endpoint,3,814448,0.656936,0.656936,0,zh,4 位医生同意： 频繁：在这种危及生命的事件之后，出现并发症并不罕见，需要透析的肾功能衰竭以及长时间插管引起的肺炎在这种创伤性环境中实际上很常见。 ...阅读更多。再看 1 个医生的回答。
CASE_0001,599720,endpoint,4,7466189,0.652086,0.652086,0,es,"Complicaciones. Las complicaciones graves relacionadas con las vías intravenosas periféricas son poco comunes, pero ocurren problemas, especialmente con el uso prolongado. Es por eso que existen pautas en diferentes hospitales sobre la duración recomendada de la colocación de una vía intravenosa per"
CASE_0001,599720,endpoint,5,1962613,0.645203,0.645203,0,es,"Sin embargo, muchas complicaciones. puede ir de la mano con la terapia intravenosa, para el examen -. ple, infiltración, flebitis, espasmo venoso, hema-. toma, embolia gaseosa y nervios, tendones y ligamentos. daño de ment. 1 Entre estos, el daño a los nervios, es. potencialmente grave, ya que puede"
CASE_0001,599720,endpoint,6,624451,0.644541,0.644541,0,es,"El riesgo de complicaciones aumenta si la úlcera no se trata o si no se completa el tratamiento. Las complicaciones pueden incluir: hemorragia interna; inestabilidad hemodinámica, resultado de una hemorragia interna que puede afectar a múltiples órganos y ser una complicación grave"
CASE_0001,599720,endpoint,7,4507281,0.644285,0.644285,0,es,"Al igual que con todos los procedimientos médicos invasivos, existen riesgos potenciales asociados con las inyecciones epidurales de esteroides lumbares. Además del entumecimiento temporal de los intestinos y la vejiga, los posibles riesgos y complicaciones más comunes incluyen: 1 Infección. 2 Las i"
CASE_0001,599720,endpoint,8,8244552,0.64427,0.64427,0,zh,有哪些风险？注射的最重要风险是眼内感染。然而，这是一种非常罕见的并发症，发生在不到 1% 的注射中。其他罕见的并发症包括眼内出血、白内障、青光眼和视网膜脱离。
CASE_0001,599720,endpoint,9,7376532,0.643735,0.643735,0,es,"Otras complicaciones de la fluidoterapia incluyen flebitis, infiltración y extravasación. Muchos líquidos intravenosos irritan las venas, por lo que si nota enrojecimiento e hinchazón en o a lo largo del sitio de la vía intravenosa, interrumpa el líquido y retire la vía intravenosa inmediatamente. L"
CASE_0001,599720,endpoint,10,2357415,0.642229,0.642229,0,es,"Al igual que con todos los tipos de cirugía, un injerto de derivación de arteria coronaria conlleva un riesgo de complicaciones. Por lo general, estos son relativamente leves y tratables, como latidos cardíacos irregulares o una infección de la herida, pero también existe el riesgo de complicaciones"
CASE_0001,599720,mixed,1,1580943,0.711375,0.711375,0,zh,获得 I.V. 的并发症可能包括浸润、血肿、空气栓塞、静脉炎、血管外给药和动脉内注射。动脉内注射更为罕见，但具有威胁性。
CASE_0001,599720,mixed,2,814448,0.700506,0.700506,0,zh,4 位医生同意： 频繁：在这种危及生命的事件之后，出现并发症并不罕见，需要透析的肾功能衰竭以及长时间插管引起的肺炎在这种创伤性环境中实际上很常见。 ...阅读更多。再看 1 个医生的回答。
